1688297210.377497 client started (11719): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688297210.377547 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688297210.378392 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688297210.378423 flags are 0x18010000
1688297210.378432 socket is /private/tmp/tmux-501/default
1688297210.378444 trying connect
1688297210.378470 connect failed: Connection refused
1688297210.378488 lock file is /private/tmp/tmux-501/default.lock
1688297210.378588 flock succeeded
1688297210.378597 got lock (6)
1688297210.378606 trying connect
1688297210.378617 connect failed: Connection refused
1688297210.379009 add peer 0x128048000: 7 (0x0)
1688297210.383750 sending message 100 to peer 0x128048000 (4 bytes)
1688297210.383769 sending message 111 to peer 0x128048000 (8 bytes)
1688297210.383779 sending message 101 to peer 0x128048000 (15 bytes)
1688297210.383788 sending message 109 to peer 0x128048000 (4 bytes)
1688297210.383796 sending message 102 to peer 0x128048000 (13 bytes)
1688297210.383804 sending message 108 to peer 0x128048000 (23 bytes)
1688297210.383812 sending message 112 to peer 0x128048000 (58 bytes)
1688297210.383820 sending message 112 to peer 0x128048000 (5 bytes)
1688297210.383828 sending message 112 to peer 0x128048000 (5 bytes)
1688297210.383839 sending message 112 to peer 0x128048000 (6 bytes)
1688297210.383848 sending message 112 to peer 0x128048000 (6 bytes)
1688297210.383855 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.383863 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.383870 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.383878 sending message 112 to peer 0x128048000 (14 bytes)
1688297210.383886 sending message 112 to peer 0x128048000 (19 bytes)
1688297210.383894 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.383901 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.383909 sending message 112 to peer 0x128048000 (15 bytes)
1688297210.383917 sending message 112 to peer 0x128048000 (21 bytes)
1688297210.383924 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.383931 sending message 112 to peer 0x128048000 (7 bytes)
1688297210.383939 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.383946 sending message 112 to peer 0x128048000 (7 bytes)
1688297210.383953 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.383961 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.383968 sending message 112 to peer 0x128048000 (21 bytes)
1688297210.383974 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.383982 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.383989 sending message 112 to peer 0x128048000 (16 bytes)
1688297210.383997 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384003 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384011 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384017 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384023 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384030 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384038 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384045 sending message 112 to peer 0x128048000 (7 bytes)
1688297210.384053 sending message 112 to peer 0x128048000 (7 bytes)
1688297210.384061 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384069 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384076 sending message 112 to peer 0x128048000 (15 bytes)
1688297210.384083 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384091 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384099 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384106 sending message 112 to peer 0x128048000 (14 bytes)
1688297210.384114 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384122 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384130 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384161 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384168 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384172 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384178 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384184 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384190 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384195 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384200 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384206 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384211 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384217 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384223 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384229 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384234 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384240 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384246 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384252 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384256 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384262 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384267 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384273 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384280 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384284 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384290 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384294 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384298 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384304 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384310 sending message 112 to peer 0x128048000 (12 bytes)
